local authority: county / unitary (as of April 2023),LA Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Hartlepool,E06000001,91058,91225,91081,91027,90673,90397,89921,89753,89680,89811,90152,89993,90134,90317,90457,90781,90969,91379,91530,91773,92088,92344,92465,92358,92125,92260,92306,92288,92401,92202,92575,93847,95366
Middlesbrough,E06000002,144747,144130,144467,145618,146391,145767,144497,144031,143023,142251,141233,140090,139050,138451,138517,138169,138190,137885,137273,137667,138368,138472,138588,139030,139602,140649,141213,141057,142134,142459,143943,148583,152650
Redcar and Cleveland,E06000003,145880,145721,144256,143469,142395,141156,140666,140380,139542,139193,139159,138520,138565,138643,138177,137621,136940,136512,135867,135383,135164,134951,134838,135106,135370,135344,135584,136276,136699,136571,136605,137168,137938
Stockton-on-Tees,E06000004,175154,176149,177180,177263,176993,177714,178019,179350,180844,182517,183795,184940,185699,185687,186350,187270,187937,189039,189978,190902,191824,192837,193923,195113,195790,196412,197046,197509,196860,196388,197032,200112,202415
Darlington,E06000005,99342,99347,99224,99423,99189,99588,99171,99273,98172,98088,97894,98474,98911,99343,100287,101509,102632,103694,104355,105028,105584,105557,105591,105825,105988,106258,106541,106411,106532,106827,108210,109413,110562
County Durham,E06000047,501488,501608,501270,500924,499927,498930,498533,496945,496096,495138,493678,493538,493931,495147,497218,499348,502960,505617,507311,510628,512994,513122,513179,513604,513924,514431,515911,516648,518562,519204,521447,527704,532182
Northumberland,E06000057,305521,306086,306129,306545,305931,305804,306756,307241,307490,307348,307363,308499,309448,310140,310752,311375,312960,314057,314489,315463,316278,315924,315013,315274,314188,314327,315663,316153,318027,318490,321532,324286,327055
Newcastle upon Tyne,E08000021,275009,278727,282735,281158,281289,280903,278164,274455,270975,267623,266241,267001,266862,266884,269608,270258,271577,271649,273422,276681,279092,280869,284371,286876,287955,290316,291759,294955,297087,298426,298545,306402,311976
North Tyneside,E08000022,194550,194015,193405,192246,191775,191154,190548,191000,190062,190708,192003,192739,193037,193195,194120,195365,196470,197964,199017,200164,201206,201566,202268,203211,202953,203743,204492,205766,207294,208015,209128,210512,211769
South Tyneside,E08000023,156659,156710,156646,156064,155788,155586,155052,154402,153627,153112,152793,152210,151181,150265,149585,148887,148642,148626,148509,148468,148164,147761,147517,147606,147230,147664,147796,148076,148368,147919,147919,148608,149270
Sunderland,E08000024,295896,296325,296882,295295,293891,292268,290804,289709,287527,285720,284601,283037,281528,280113,279199,278370,277834,276812,276209,275980,275330,275317,275247,275751,275408,275490,274816,274339,274277,273583,274378,277512,281058
Gateshead,E08000037,201682,201290,200673,199629,198473,197183,195935,194344,193276,191912,191178,191559,192115,192317,192857,193615,194934,196078,197481,198731,200349,200252,200299,200728,201271,201359,200660,199915,198435,197342,196179,197922,199139
Halton,E06000006,124801,124201,123766,122788,122151,121778,120895,120212,119552,119126,118559,118788,119178,119960,120396,121275,122040,122907,123636,124802,125722,125596,125889,126335,126464,126851,127038,127873,128456,128508,128570,129008,129587
Warrington,E06000007,184713,183393,184749,186091,187274,188271,188903,189569,190320,190629,191202,191615,191987,191837,192992,194603,196559,198187,200057,201309,202709,203914,205905,208056,209575,210873,212137,212008,212245,211627,211182,211797,212389
Blackburn with Darwen,E06000008,137402,137775,138912,139515,139558,138778,138748,139568,138233,138196,138453,139538,140429,141418,142145,143110,143942,144902,146197,146966,147657,148532,149148,149579,150490,151497,152312,152787,154066,154564,154954,155823,157503
Blackpool,E06000009,148617,150221,151099,150721,149594,147579,145514,144120,142995,143035,142270,142164,142658,143143,143688,143733,143644,142921,142578,142753,142080,142565,142733,142253,141788,141996,142121,141880,142407,141560,140976,141648,142708
Cheshire East,E06000049,340546,342260,344113,346153,348698,349911,350985,352066,350932,351234,352104,353348,355529,357354,359807,362049,365003,367160,368023,369051,370736,372501,373956,376574,378511,381414,384221,386891,390556,393203,400474,406587,412458
Cheshire West and Chester,E06000050,312715,314424,316997,317808,317440,317566,318968,320132,319598,321113,322154,322657,324378,325496,327169,328358,329364,329353,329116,329553,329526,331231,333476,336437,339181,342424,346040,350076,353362,354738,357730,361799,365061
Cumberland,E06000063,268838,269504,268527,268350,267882,266929,266997,266628,265127,263908,263559,264632,266609,269008,270496,272315,273850,274153,274005,273915,274546,274285,274032,274139,274195,274192,273458,273256,273009,272444,273788,275331,276876
Westmorland and Furness,E06000064,217425,217741,218638,218652,218909,219817,221173,222405,223018,223694,224236,224049,224720,225910,226544,226498,226929,226763,226781,226250,225271,224550,224048,224164,224523,224754,225235,225685,226162,225995,226941,227648,228187
Bolton,E08000001,261349,261586,261885,261493,260872,260056,259709,260882,260396,260183,261302,262367,263814,264511,265016,266816,268319,270497,273049,275168,277296,279738,281629,283212,284972,287253,289684,291594,294888,295712,296169,299153,302383
Bury,E08000002,178330,179575,180156,180395,179906,179693,179656,180551,181020,180875,180655,181084,181405,180999,181028,181809,182713,183000,183885,184755,185422,186632,187093,188406,189254,190470,191896,192900,193763,193604,193866,194590,195476
Manchester,E08000003,432676,427546,426887,425314,425699,422584,417698,417726,416438,421799,422915,428221,436727,444925,455745,463749,470538,477408,483784,492598,502902,506869,510783,515360,523321,533446,536961,540675,545947,547340,550630,566778,579917
Oldham,E08000004,218482,219227,219519,219416,219046,219191,218942,218672,218420,218114,218537,218455,218490,218988,219288,220033,220723,221907,222811,223807,225157,226057,227866,230348,232693,235021,237161,239923,242077,242181,242003,243993,246130
Rochdale,E08000005,203928,204575,205234,205256,205222,204691,204038,204499,204865,206088,206440,206697,207528,207286,207200,207845,208393,209666,210248,210758,211929,212345,212503,213462,214560,216251,218492,219969,222042,223024,224127,226950,229756
Salford,E08000006,230821,229874,228988,227620,227204,225590,223906,221640,220018,218689,216978,216310,217312,217921,219536,221931,223468,226782,228948,231837,234487,237421,239718,242602,246942,251562,255090,259224,263611,266090,270866,278867,284106
Stockport,E08000007,288577,288586,288383,287756,286406,286371,286343,287185,285824,284420,284557,283502,282932,282368,281195,280498,280953,281477,282263,282614,283253,283953,284816,286267,288210,289879,290905,291631,293172,293851,295268,297191,299545
Tameside,E08000008,218020,218661,218670,218241,217379,215970,216081,214873,213567,212899,213087,213211,213470,213667,213474,214187,214750,216360,217417,218774,219727,220457,221446,222364,223642,225480,226692,228435,229952,230521,231220,232806,234666
Trafford,E08000009,215799,215348,215401,215171,214733,214590,213492,214159,212951,211287,210172,211062,213031,214129,215430,217369,219359,220939,223065,225234,227091,228512,230367,231799,232504,233710,234917,235623,236121,235937,235586,236651,237480
Wigan,E08000010,305582,306201,305892,304994,303717,302619,302058,301728,301989,301985,301453,302305,303846,304958,306143,308023,309403,311971,314363,316296,318122,318109,318737,320075,320864,321494,322485,323904,326386,327850,329796,334014,339174
Knowsley,E08000011,155135,153882,153752,152719,152737,152714,152655,153168,151837,151392,151238,150506,149795,149216,148900,148788,148188,147822,147070,146398,145903,146227,146370,146562,147300,147928,148567,150042,151793,153408,154978,157107,159243
Liverpool,E08000012,475614,473573,471283,468092,464670,461387,456432,453238,448417,446050,441858,443784,444960,448091,452278,453055,453582,454468,457523,461403,465656,465365,465815,465745,469953,475486,479801,483598,484687,483348,485022,495849,503740
St. Helens,E08000013,180063,180028,179209,179317,178071,177504,176936,176364,176795,176757,176826,176295,175997,175738,175361,175199,174970,175106,175272,175203,175405,176214,176451,177785,178296,179229,180150,180937,181541,182102,183394,184728,185982
Sefton,E08000014,292935,292815,292199,290466,288953,287491,286457,285159,284162,283337,282884,280866,279913,278853,276957,275852,275085,274735,274153,273820,273969,273979,273814,275143,275546,276707,276962,277890,278908,278621,279693,281039,282745
