,,Mid-2010 to Mid-2011,,,,,Mid-2011 to Mid-2012,,,,,Mid-2012 to Mid-2013,,,,,Mid-2013 to Mid-2014,,,,,Mid-2014 to Mid-2015,,,,,Mid-2015 to Mid-2016,,,,,Mid-2016 to Mid-2017,,,,,Mid-2017 to Mid-2018,,,,,Mid-2018 to Mid-2019,,,,,Mid-2019 to Mid-2020,,,,
E10000025,Oxfordshire,654791,8538,5450,31370,32157,660009,7683,6216,:,:,663998,7307,5551,30932,31250,669377,8862,4791,32208,32961,673590,9303,5659,31331,33520,678484,9372,5297,31068,33086,682444,8377,6201,37157,37531,687524,10218,7233,38483,37939,691667,9741,8138,40218,39586,696880,10454,9187,38034,35166
E10000027,Somerset,531581,2377,1381,19585,17351,535197,2124,1371,:,:,538370,1987,1414,20241,17326,542203,2360,1367,21166,18451,546466,2652,1411,21451,18147,551446,2763,1576,21808,17912,555195,2357,1610,23420,20016,559399,2776,1478,23816,19927,562225,2449,2241,23853,20305,563851,2338,1548,19846,17653
E11000003,South Yorkshire (Met County),1343805,10342,3747,33579,34880,1352382,9169,4797,:,:,1358520,9458,4444,32975,35532,1366088,10166,5342,35304,36412,1375457,11877,4109,35205,36199,1385413,11786,4931,35386,35474,1393445,10644,4966,42198,42463,1402918,11003,4903,44092,42607,1409020,11405,6020,44545,45114,1415054,11956,4594,40058,40803
E10000028,Staffordshire,849546,2971,1486,27172,26506,852039,2490,1411,:,:,856837,2530,1535,28903,26954,859870,2981,1439,29108,28594,862166,3334,1497,28344,27923,866430,3446,1457,28537,27395,870825,2986,1197,34453,32477,875219,2967,1665,34709,31013,879560,2749,1447,36267,32690,883172,2583,976,32018,28236
E10000029,Suffolk,730133,3083,3022,32791,29942,732802,2932,2566,34639,32504,735844,2583,2321,34108,30807,742499,3086,1794,35734,32951,747734,3665,1848,36320,33273,751175,3807,2461,36321,33313,756978,3326,2473,40271,36816,758556,3822,3827,38424,35918,761350,3320,3251,26969,23500,761246,3038,2926,24484,21135
E10000030,Surrey,1135367,10455,8206,52832,48959,1144046,9021,8050,:,:,1154136,8341,6338,54138,50175,1164095,9528,5650,57212,54710,1172382,10480,6129,55019,55138,1180956,10902,5476,54718,55422,1185321,9398,6115,62051,63331,1189934,11182,6524,62097,64573,1196236,10818,7000,65209,65674,1199870,11296,8938,60458,59058
E11000007,Tyne and Wear (Met County),1104141,9791,4469,27109,29465,1107684,7691,5500,:,:,1112559,8344,4031,28507,29416,1117332,8879,6154,30341,30140,1120521,9271,5434,29518,30435,1126417,8990,3723,29203,29848,1129538,8013,5373,34205,34260,1136371,8979,2905,35727,34850,1141469,9470,4437,36581,36793,1146624,10479,3485,33628,33721
E10000031,Warwickshire,546554,2757,2575,21628,20963,548320,2517,2249,:,:,549517,2488,1986,21147,21635,552450,3476,2240,22629,22196,555154,3467,2221,22498,21532,558991,3870,2102,22726,21388,564562,3381,1871,28728,25167,571010,3495,2532,30604,25564,577933,3146,2529,32179,26411,583786,2887,1860,28459,23130
E11000005,West Midlands (Met County),2739733,32608,16276,62293,71482,2761887,24324,12980,:,:,2781753,24977,14811,66623,73119,2805891,28434,14790,69539,75781,2834490,34997,14177,70230,76514,2870551,38518,12513,70895,76312,2897303,30997,10614,84994,93169,2916458,35534,15771,85289,98310,2928592,35877,18882,86459,104138,2939927,37682,16075,78094,96139
E10000032,West Sussex,808919,4399,2966,28898,25267,815960,4472,3258,:,:,822940,4226,2761,30569,25350,830512,4864,2399,32302,27394,838525,5134,2536,32817,27276,846888,5690,2434,32033,27065,852353,4726,2923,35096,30818,858852,5436,3402,35920,30627,863980,4732,3403,35879,31638,867635,4488,3991,32088,27266
E11000006,West Yorkshire (Met County),2227371,18219,7723,54291,58778,2240388,14549,10014,:,:,2250644,14287,9666,54137,59536,2261757,16535,12500,56916,61151,2277796,17730,9599,57361,59276,2295025,18767,10544,57279,58609,2307035,16658,10666,65615,68896,2320214,18080,9048,66951,70262,2332469,17747,11500,70593,72171,2345235,18960,8562,63553,65955
E10000034,Worcestershire,566557,2300,1893,17465,16480,569301,2246,1344,:,:,572613,2251,1323,18743,16757,575993,2614,1464,19815,18226,579050,2836,1525,19813,18038,583491,3023,1303,20029,17572,588370,2584,1224,23835,20177,592057,2847,1773,23588,20373,595786,2542,1562,23923,20862,598070,2452,1237,20552,17939
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000033,Aberdeen City,222460,5284,1154,8298,9350,224910,4414,2312,9238,9493,227070,3636,2334,10405,10043,228920,4202,2237,10004,10557,230350,4590,1401,9470,11574,229840,4157,1683,8148,11591,228800,3182,1691,8152,11059,227560,2980,1800,7710,10210,228670,3590,1570,8310,9530,229060,3780,2480,7330,8130
S12000034,Aberdeenshire,253650,1438,715,7398,6737,255560,1062,853,8000,6823,257770,978,862,8575,7027,260530,1062,938,9280,7363,261960,1080,824,8408,7678,262190,978,662,7179,7849,261800,758,547,6464,7363,261470,600,640,6530,7090,261210,760,560,6490,7080,260780,650,740,5710,5740
E07000223,Adur,61334,171,170,3166,3025,61970,177,123,3709,3088,62605,165,120,3651,3132,63266,181,97,3718,3227,63526,196,95,3609,3428,63621,226,115,3337,3324,63721,183,107,3714,3630,63869,240,125,3828,3714,64301,223,114,3887,3527,64187,231,170,3222,3213
E07000026,Allerdale,96444,263,205,2626,2529,96269,182,137,2806,2868,96269,158,120,2780,2620,96532,185,164,3052,2720,96756,218,126,3130,2766,97099,218,112,3024,2574,97213,187,181,3250,2875,97527,198,150,3510,2976,97761,188,89,3428,3020,97831,150,109,2904,2424
E07000032,Amber Valley,122521,203,172,4825,4488,122798,159,130,4906,4716,123592,173,135,5181,4563,124050,189,107,5240,4845,124188,185,115,5237,5006,124802,178,109,5295,4711,125898,171,110,6316,5215,126678,181,177,6301,5413,128147,160,122,6928,5388,128829,138,60,5923,5022
S12000041,Angus,116200,513,278,3091,3211,116220,369,358,3561,3314,116290,279,366,3666,3466,116740,340,313,3890,3272,116900,290,301,4016,3468,116520,346,273,3565,3570,116280,304,254,3484,3390,116040,220,270,3670,3430,116200,310,250,3700,3280,115820,240,330,3120,2750
N09000001,Antrim and Newtownabbey,138651,904,1130,4263,4179,139157,742,822,4845,4999,139536,617,938,4705,4662,139966,678,804,4596,4833,140467,562,549,5069,4509,141032,652,726,4653,4615,141697,557,663,4722,4436,142492,741,600,4683,4564,143504,745,543,4767,4296,143756,556,630,3923,3961
N09000011,Ards and North Down,156943,556,680,3577,3295,157637,643,607,3972,3643,157640,548,691,3780,3746,157931,468,599,4266,3753,158797,437,529,4606,3379,159593,501,455,4277,3647,160098,475,404,4213,3430,160864,523,334,4196,3547,161725,492,348,4176,3514,162056,433,563,3822,3148
S12000035,Argyll and Bute,88930,360,305,3375,3126,86910,304,475,3517,3579,88050,235,446,3696,3508,87650,239,473,3546,3587,86890,299,384,3614,3762,87130,351,313,3759,3563,86810,296,332,3885,3712,86260,300,440,3830,3780,85870,290,380,3640,3620,85430,300,570,3130,2950
N09000002,"Armagh City, Banbridge and Craigavon",200298,1604,989,4148,4105,202398,1635,945,4394,4658,203757,1505,950,4002,4510,205711,1680,810,4536,4585,207797,1899,813,4891,3876,210260,1856,907,4908,4697,211898,1442,737,5012,5031,214090,1886,740,5066,4927,216205,1829,837,5138,5066,217232,1439,1135,4680,4661
E07000224,Arun,149811,836,459,6608,5685,151556,874,549,7724,5878,153013,811,410,7337,5837,154653,847,440,7773,6031,155798,865,492,7519,6037,157287,1017,404,7528,6023,158657,840,588,8417,6654,159827,904,616,8593,6853,160758,795,466,8308,6899,161123,729,529,7217,6154
E07000170,Ashfield,119522,288,193,4728,4362,120120,184,140,5092,4939,121546,224,143,5606,4682,122490,250,99,5586,5156,123577,275,108,5829,5035,124513,340,133,5733,5232,126164,297,136,7000,5777,127151,283,274,6734,5835,127918,266,153,6760,6235,128337,240,130,5944,5545
E07000105,Ashford,118405,630,535,5563,4765,120128,497,427,5974,4962,121684,473,387,6064,5120,123159,627,315,6350,5653,124047,641,287,5949,5822,125871,689,241,6409,5469,127527,621,322,6602,5766,129281,678,397,6638,5556,130032,629,410,6522,6163,131018,565,391,5941,5339
E07000200,Babergh,87901,279,227,4481,4229,88088,242,207,4561,4370,88704,243,167,4610,3982,89413,267,151,5041,4365,89900,245,115,4982,4392,90250,252,147,4828,4464,90794,224,116,5430,4730,91401,238,168,5499,4732,92036,213,175,5662,4744,92735,206,138,4910,3987
E09000002,Barking and Dagenham,187029,3160,586,10840,11487,190663,2479,815,11975,12527,194576,2269,753,12354,12612,198650,3426,742,12928,14046,203101,3898,616,12923,14099,208182,4689,799,12687,14263,210711,4185,959,13681,17037,211998,3846,967,14258,18401,212906,3760,1284,15149,19066,214107,3387,1366,12905,15877
E09000003,Barnet,357538,8311,3329,19948,21296,363777,6748,3033,20777,21611,368301,6092,2793,20664,22396,373745,7720,3321,21984,23868,378778,8636,2969,21755,25134,384774,8257,3450,22812,24591,387803,7622,3506,25028,28885,392140,7085,2864,25364,28084,395869,7269,3792,26583,28906,399007,7395,3736,22984,25676
E08000016,Barnsley,231865,737,319,6289,5707,233762,593,284,6786,5940,235811,640,332,7134,5974,237971,1065,371,7168,6253,239855,1378,278,6797,6401,241847,1318,361,6935,6282,243341,1215,448,7692,7377,245199,1080,447,8193,7121,246866,1048,593,8771,7607,248071,913,430,7482,6639
E07000027,Barrow-in-Furness,69056,188,129,1505,1721,68471,90,95,1337,1997,67936,90,79,1450,1933,67769,111,94,1599,1804,67676,118,62,1710,1873,67532,126,72,1639,1794,67099,106,81,1651,2072,67137,136,72,1753,1751,67049,108,50,1691,1860,66726,93,83,1552,1643
E07000066,Basildon,174971,545,471,6886,6769,176538,393,288,7395,6866,178498,401,283,7601,6685,180676,591,203,8160,7326,181951,656,210,7969,7950,183768,741,318,8241,7880,184479,638,334,8782,9213,185862,710,353,9304,9041,187199,652,392,9657,9599,187558,584,412,7963,8399
E07000084,Basingstoke and Deane,168550,876,759,7754,6826,170691,809,670,7931,7107,172050,749,748,7302,7098,173374,931,489,7613,7622,174340,955,595,7497,7603,175226,986,539,6949,7463,175337,855,677,8261,9081,175729,953,838,8414,8602,176582,780,833,9032,8742,177760,732,727,8073,7352
E07000171,Bassetlaw,113003,352,168,3752,3873,113235,311,188,4075,4123,113704,344,200,4313,3985,114256,457,145,4374,4304,114689,444,149,4194,3942,115212,512,137,4130,4009,116304,435,198,5169,4402,116839,444,395,5187,4540,117459,403,246,5163,4575,118280,362,178,4905,3988
E06000022,Bath and North East Somerset,175538,2722,1526,11395,11163,177196,2177,1314,12255,11720,179460,2410,1091,12492,11738,181241,2451,1489,13066,12452,184287,2861,1339,13545,12086,186946,2867,1767,13907,12540,188678,2389,1555,15671,14753,192106,3029,1305,16746,15192,193282,3065,2069,16895,16747,196357,3577,1612,16596,15408
E06000055,Bedford,157840,1347,1014,7400,6423,159369,1079,908,7676,7203,161553,1115,747,7937,6869,163999,1419,744,8097,7216,166376,1651,753,8168,7301,168814,1816,1181,8290,7300,169912,1465,1127,9038,8916,171623,1575,1350,9239,8474,173292,1447,1212,9432,8604,174687,1322,1041,8420,7699
N09000003,Belfast,333895,4082,5428,12347,13285,333962,4107,4606,13523,14864,335133,4544,5608,14198,13949,336830,4710,4330,14115,14955,338907,4490,3868,13207,15571,339579,4253,4833,15519,16502,340220,4254,4813,15424,16519,341877,4989,4085,16756,17251,343542,5660,5040,16779,17443,342560,4584,5775,15665,16963
E09000004,Bexley,232774,1214,280,9994,9920,234308,960,429,11094,11358,236816,970,364,11435,10590,240016,1144,415,12228,10955,242387,1284,430,12355,11942,245095,1408,523,12496,11765,246124,1159,556,13393,14008,247258,1273,439,13688,14387,248287,1171,432,14245,14916,249301,1140,481,12211,12500
E08000025,Birmingham,1074283,16136,8599,38041,43555,1085198,11689,7235,42338,45503,1092190,12001,8557,40845,46487,1101521,13708,8301,42502,47639,1112950,15810,7909,42891,47420,1128077,17719,6879,43275,47764,1137123,14163,5898,51122,58764,1141374,16128,8954,50273,60690,1141816,16548,12121,51981,63541,1140525,17494,10625,46113,59469
E07000129,Blaby,94132,247,104,4208,4390,94608,165,135,4982,4794,95105,180,146,5014,4785,95836,213,119,5218,4815,96458,205,142,5322,4933,97562,220,154,5524,4724,98977,204,141,6859,5400,100421,244,257,6725,5458,101526,201,176,6449,5619,101950,175,98,5365,5152
E06000008,Blackburn with Darwen,147657,856,585,4470,5551,147854,662,503,4668,5797,147763,659,533,4499,5771,147416,659,502,4520,6055,147856,854,411,4754,5631,148462,1077,385,4617,5653,148772,790,381,5189,6022,148942,1029,417,5079,6241,149696,859,261,5733,6342,150030,780,337,5008,5624
E06000009,Blackpool,142080,513,771,7505,7744,142037,563,423,8052,8240,141603,416,373,7916,8326,140898,530,431,8109,8889,140162,536,342,7480,8241,139983,618,364,7747,7996,139870,612,477,7994,7991,139305,508,490,7608,7900,139446,420,289,7950,7763,138381,381,413,6638,7184
W06000019,Blaenau Gwent / Blaenau Gwent,69812,69,51,1560,1680,69806,85,100,1777,1758,69764,93,47,1682,1785,69653,106,60,1664,1878,69547,126,67,1727,1823,69630,119,49,1923,1857,69609,112,71,1888,1834,69713,107,79,2112,1873,69862,87,48,2082,1940,70020,80,51,1848,1529
E07000033,Bolsover,76029,198,65,3336,3317,76480,173,75,3516,3196,76774,273,61,3324,3373,77231,251,43,3620,3388,77917,348,65,3728,3321,78225,339,102,3775,3684,79098,305,99,4790,4059,79530,228,173,4699,4275,80562,239,99,5027,4135,81305,174,53,4441,3749
E08000001,Bolton,277296,1857,884,7956,8587,279084,1467,916,8824,9029,280271,1621,1100,8256,8851,280788,1703,1127,8332,9804,281828,1865,1029,8631,9544,283536,2208,1023,8666,9430,284813,1832,1096,10127,10767,285372,1892,959,9893,11272,287550,2049,558,11002,11343,288248,1829,765,9053,10195
E07000136,Boston,64615,1072,298,1997,2815,64855,1082,318,2258,2999,65831,1376,262,2332,2649,66454,1378,207,2286,2946,66876,1538,198,2132,3092,67709,1733,208,2060,2971,68488,1374,279,2753,3117,69366,1593,596,2984,3082,70173,1313,386,3094,3198,70837,1227,262,2659,2867
E06000058,"Bournemouth, Christchurch and Poole",379441,4375,2217,19136,17363,382788,4239,2555,20122,18963,385178,3644,2139,19214,18375,388358,4252,3002,20593,18919,390889,4785,2897,20000,19057,394009,4822,3422,20197,18459,395638,4272,3209,22634,21750,395784,4287,2623,22346,23265,395331,4340,3726,22092,22771,396989,4566,2369,20727,20501
E06000036,Bracknell Forest,113696,970,747,6010,5852,115089,765,514,6417,6117,116543,734,506,6647,6285,117997,875,396,6513,6379,119205,966,406,6438,6478,119730,951,428,6071,6870,120377,846,452,6527,7069,121676,1003,528,7078,6867,122549,924,536,7000,7171,124165,979,629,6731,6127
E08000032,Bradford,523115,4928,1799,13416,16507,524386,3753,2552,13551,17529,525936,3603,2147,13874,17422,527567,3860,2754,14413,17749,529879,3868,2123,14312,17173,532539,3973,2142,14352,17083,534800,3777,2092,16614,19332,537173,3511,1625,17453,19669,539776,3688,2207,18184,20020,542128,3871,1533,15555,17591
E07000067,Braintree,147514,418,314,6708,5954,148375,361,296,6689,6321,149150,348,248,6618,6329,150076,451,203,7083,6772,150530,494,219,7023,6990,151233,488,290,7128,6854,151677,439,306,7613,7491,151561,369,443,7312,7475,152604,361,339,8322,7371,153091,323,219,7010,6573
