Area Code,Area Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
E92000001,England,0.005668010659728445,0.005624603212836405,0.005090909509457547,0.005106724428240359,0.004770661117690916,0.005024764119215532,0.005420857423386036,0.0055193922065881924,0.006020754966678695,0.005694097510425174
N92000002,Northern Ireland,0.007769861733169158,0.006843478461138584,0.007445381136509585,0.00601087314411643,0.005561613310715314,0.006197180980776387,0.005733806420024438,0.0048797831254739875,0.005533179804052138,0.006822438288376215
S92000003,Scotland,0.0031887394101775507,0.004930743751881963,0.004898924488991497,0.004712394345126786,0.0033873069048948445,0.0032379225488926304,0.0035946025659932164,0.0040455306081168055,0.0036113704171471454,0.005726308086351994
W92000004,Wales,0.003666085898429315,0.004091973271890301,0.0020808379931041014,0.0030022289520561856,0.0034774769077076276,0.002296709120986782,0.003244628683605506,0.003438441791978732,0.0030784562300043864,0.0027442069721408413
,,,,,,,,,,,
E12000001,North East,0.0032633131274694862,0.0034260853593258804,0.0024990777851367696,0.0038598774370536015,0.0033609199799282093,0.002276046816549716,0.003281246041651936,0.0017310600174799062,0.002584326769767572,0.0020400908248882875
E12000002,North West,0.004384803147296308,0.003751586216047213,0.004312106953654317,0.00454056945817946,0.003907638249531928,0.004158245040359437,0.004980005171776976,0.005053967358891336,0.0032301276249809977,0.004450925801253513
E12000003,Yorkshire and The Humber,0.0030456418918152297,0.0039609569265682595,0.00367819795651506,0.004609227746334641,0.003534369990339896,0.003906830317563594,0.004060820567582791,0.0036172249327735616,0.004528284469087312,0.0032822749192505
E12000004,East Midlands,0.0039821943964977674,0.004049215836602231,0.0038246855311720135,0.0029846665210381145,0.0031671272120878473,0.0031669343694382896,0.0029589246187809457,0.005654695555862235,0.004243446138983045,0.00281631204318167
E12000005,West Midlands,0.004371626983737847,0.003619148987827417,0.003950816119033732,0.003963462286024231,0.003847068096233001,0.003374421957285201,0.002916884075058534,0.004220814380256635,0.00463461889435472,0.0037516381023658617
E12000006,East,0.0043088022723729354,0.004912364115020977,0.0039036051139007925,0.0032277203041256386,0.0030602521078938838,0.0042424504466875125,0.004292987261592573,0.0053997491458930465,0.005083969524405748,0.004352895068415056
E12000007,London,0.012472077506637591,0.01289699768908582,0.010720219809828574,0.010948664062736039,0.009974350779341704,0.010760737675204931,0.012114786162630464,0.009999796813702076,0.012888991495079943,0.012867998268922992
E12000008,South East,0.006210602275521959,0.005636378890461904,0.0050026418279493345,0.004221769088478089,0.004554946302497421,0.004219439186556175,0.004798352572591147,0.0055073423750153965,0.00575754060261641,0.006694068142773371
E12000009,South West,0.00407124845142205,0.003756925198029342,0.003713110172337552,0.004298322896226231,0.0041483219747021445,0.004971385576837154,0.004742669781678178,0.004061977932884324,0.006269672174282841,0.004364265048612485
,,,,,,,,,,,
E10000003,Cambridgeshire,0.00796706475208577,0.012067268672073212,0.00816481639895821,0.007385238339635949,0.006788522331198833,0.009224682930613196,0.009047616843839522,0.011420115981715535,0.011795812631878531,0.009461293601377959
